country,year,biomass_relative_to,SST,Trawling_Hours,country_encoded
Atlantic halibut Gulf of Maine / Georges Bank,1800,19795920,27.11,5638.58,100
Atlantic halibut Gulf of Maine / Georges Bank,1801,19795920,25.6,4840.09,100
Atlantic halibut Gulf of Maine / Georges Bank,1802,19795920,25.2,4709.12,100
Atlantic halibut Gulf of Maine / Georges Bank,1803,19795920,26.06,5335.08,100
Atlantic halibut Gulf of Maine / Georges Bank,1804,19775510,25.14,4890.73,100
Atlantic halibut Gulf of Maine / Georges Bank,1805,1975510,26.01,5518.36,100
Atlantic halibut Gulf of Maine / Georges Bank,1806,19734690,25.49,5318.4,100
Atlantic halibut Gulf of Maine / Georges Bank,1807,19693880,25.87,5652.56,100
Atlantic halibut Gulf of Maine / Georges Bank,1808,19653060,26.33,6036.39,100
Atlantic halibut Gulf of Maine / Georges Bank,1809,19591840,25.75,5795.86,100
Atlantic halibut Gulf of Maine / Georges Bank,1810,19530610,26.29,6228.94,100
Atlantic halibut Gulf of Maine / Georges Bank,1811,19469390,26.28,6331.03,100
Atlantic halibut Gulf of Maine / Georges Bank,1812,19408160,24.93,5629.78,100
Atlantic halibut Gulf of Maine / Georges Bank,1813,19326530,25.43,6038.6,100
Atlantic halibut Gulf of Maine / Georges Bank,1814,1924490,25.12,5960.54,100
Atlantic halibut Gulf of Maine / Georges Bank,1815,19163270,26.92,7149.6,100
Atlantic halibut Gulf of Maine / Georges Bank,1816,19081630,25.89,6637.46,100
Atlantic halibut Gulf of Maine / Georges Bank,1817,190,26.85,7323.33,100
Atlantic halibut Gulf of Maine / Georges Bank,1818,18918370,25.17,6419.19,100
Atlantic halibut Gulf of Maine / Georges Bank,1819,18816330,25.72,6857.25,100
Atlantic halibut Gulf of Maine / Georges Bank,1820,18734690,26.42,7389.23,100
Atlantic halibut Gulf of Maine / Georges Bank,1821,18632650,26.13,7322.86,100
Atlantic halibut Gulf of Maine / Georges Bank,1822,18551020,26.33,7548.94,100
Atlantic halibut Gulf of Maine / Georges Bank,1823,18448980,25.46,7132.94,100
Atlantic halibut Gulf of Maine / Georges Bank,1824,18346940,26.79,8042.12,100
Atlantic halibut Gulf of Maine / Georges Bank,1825,18265310,26.51,7982.19,100
Atlantic halibut Gulf of Maine / Georges Bank,1826,18163270,26.34,7989.57,100
Atlantic halibut Gulf of Maine / Georges Bank,1827,18061220,25.82,7783.4,100
Atlantic halibut Gulf of Maine / Georges Bank,1828,17959180,26.35,8206.22,100
Atlantic halibut Gulf of Maine / Georges Bank,1829,17836730,26.06,8141.63,100
Atlantic halibut Gulf of Maine / Georges Bank,1830,17734690,25.4,7853.93,100
Atlantic halibut Gulf of Maine / Georges Bank,1831,17632650,26.22,8453.95,100
Atlantic halibut Gulf of Maine / Georges Bank,1832,17530610,26.19,8542.06,100
Atlantic halibut Gulf of Maine / Georges Bank,1833,17408160,26.81,9027.8,100
Atlantic halibut Gulf of Maine / Georges Bank,1834,17306120,25.19,8158.75,100
Atlantic halibut Gulf of Maine / Georges Bank,1835,17183670,26.44,9019.64,100
Atlantic halibut Gulf of Maine / Georges Bank,1836,17081630,25.77,8722.41,100
Atlantic halibut Gulf of Maine / Georges Bank,1837,16959180,26.52,9284.85,100
Atlantic halibut Gulf of Maine / Georges Bank,1838,16836730,26.57,9421.36,100
Atlantic halibut Gulf of Maine / Georges Bank,1839,16734690,26.36,9403.03,100
Atlantic halibut Gulf of Maine / Georges Bank,1840,16612240,26.83,9791.27,100
Atlantic halibut Gulf of Maine / Georges Bank,1841,1648980,25.82,9295.35,100
Atlantic halibut Gulf of Maine / Georges Bank,1842,16367350,27.02,10121.4,100
Atlantic halibut Gulf of Maine / Georges Bank,1843,1624490,26.13,9696.66,100
Atlantic halibut Gulf of Maine / Georges Bank,1844,16102040,25.73,9562.31,100
Atlantic halibut Gulf of Maine / Georges Bank,1845,15979590,26.39,10067.36,100
Atlantic halibut Gulf of Maine / Georges Bank,1846,15857140,25.5,9640.53,100
Atlantic halibut Gulf of Maine / Georges Bank,1847,15714290,26.69,10465.33,100
Atlantic halibut Gulf of Maine / Georges Bank,1848,15571430,26.45,10431.31,100
Atlantic halibut Gulf of Maine / Georges Bank,1849,15448980,27.22,10999.19,100
Atlantic halibut Gulf of Maine / Georges Bank,1850,15306120,26.95,10943.76,100
Atlantic halibut Gulf of Maine / Georges Bank,1851,15163270,25.95,10451.48,100
Atlantic halibut Gulf of Maine / Georges Bank,1852,15020410,26.24,10737.56,100
Atlantic halibut Gulf of Maine / Georges Bank,1853,14877550,26.94,11265.28,100
Atlantic halibut Gulf of Maine / Georges Bank,1854,14714290,27.13,11483.2,100
Atlantic halibut Gulf of Maine / Georges Bank,1855,14571430,27.33,11715.83,100
Atlantic halibut Gulf of Maine / Georges Bank,1856,14408160,27.35,11833.43,100
Atlantic halibut Gulf of Maine / Georges Bank,1857,1424490,26.72,11562.22,100
Atlantic halibut Gulf of Maine / Georges Bank,1858,14081630,26.96,11817.88,100
Atlantic halibut Gulf of Maine / Georges Bank,1859,13918370,27.45,12218.7,100
Atlantic halibut Gulf of Maine / Georges Bank,1860,1375510,26.67,11858.09,100
Atlantic halibut Gulf of Maine / Georges Bank,1861,13591840,27.03,12183.0,100
Atlantic halibut Gulf of Maine / Georges Bank,1862,13408160,26.7,12091.02,100
Atlantic halibut Gulf of Maine / Georges Bank,1863,13224490,26.61,12143.8,100
Atlantic halibut Gulf of Maine / Georges Bank,1864,13040820,26.93,12443.6,100
Atlantic halibut Gulf of Maine / Georges Bank,1865,12857140,26.58,12342.82,100
Atlantic halibut Gulf of Maine / Georges Bank,1866,12653060,26.88,12629.81,100
Atlantic halibut Gulf of Maine / Georges Bank,1867,12448980,26.45,12478.59,100
Atlantic halibut Gulf of Maine / Georges Bank,1868,1224490,26.89,12852.08,100
Atlantic halibut Gulf of Maine / Georges Bank,1869,12020410,27.23,13163.6,100
Atlantic halibut Gulf of Maine / Georges Bank,1870,11816330,26.73,12972.45,100
Atlantic halibut Gulf of Maine / Georges Bank,1871,11591840,27.05,13271.87,100
Atlantic halibut Gulf of Maine / Georges Bank,1872,11346940,27.13,13430.88,100
Red snapper Gulf of Mexico,1872,22421880,29.02,14677.19,921
Atlantic halibut Gulf of Maine / Georges Bank,1873,11102040,27.02,13469.01,100
Red snapper Gulf of Mexico,1873,22421880,29.36,14987.19,921
Atlantic halibut Gulf of Maine / Georges Bank,1874,10857140,26.05,12998.8,100
Red snapper Gulf of Mexico,1874,22421880,30.3,15662.75,921
Atlantic halibut Gulf of Maine / Georges Bank,1875,10591840,26.69,13487.74,100
Red snapper Gulf of Mexico,1875,22343750,29.05,15022.45,921
Atlantic halibut Gulf of Maine / Georges Bank,1876,10326530,26.67,13587.54,100
English sole Pacific Coast,1876,55163960,28.54,14777.27,369
Petrale sole Pacific Coast,1876,40028680,27.95,14400.29,690
Red snapper Gulf of Mexico,1876,22265630,28.55,14826.21,921
Atlantic halibut Gulf of Maine / Georges Bank,1877,10040820,27.7,14311.01,100
English sole Pacific Coast,1877,55163960,28.15,14654.8,369
Petrale sole Pacific Coast,1877,40028680,28.11,14601.48,690
Red snapper Gulf of Mexico,1877,22109380,28.43,14866.28,921
Atlantic halibut Gulf of Maine / Georges Bank,1878,9734690,27.17,14099.81,100
English sole Pacific Coast,1878,55163960,29.26,15425.01,369
Petrale sole Pacific Coast,1878,40028680,28.34,14846.21,690
Red snapper Gulf of Mexico,1878,22031250,29.07,15353.71,921
Atlantic halibut Gulf of Maine / Georges Bank,1879,9428570,26.98,14094.4,100
English sole Pacific Coast,1879,55163960,28.31,14964.24,369
Petrale sole Pacific Coast,1879,40028680,27.97,14736.59,690
Red snapper Gulf of Mexico,1879,21953130,29.16,15516.2,921
Atlantic halibut Gulf of Maine / Georges Bank,1880,9102040,26.69,14026.08,100
English sole Pacific Coast,1880,55163960,28.63,15264.51,369
Petrale sole Pacific Coast,1880,40028680,27.35,14470.44,690
Red snapper Gulf of Mexico,1880,218750,29.77,15990.77,921
Atlantic halibut Gulf of Maine / Georges Bank,1881,8775510,26.86,14237.59,100
English sole Pacific Coast,1881,55163960,28.46,15272.98,369
Petrale sole Pacific Coast,1881,40028680,28.42,15218.86,690
Red snapper Gulf of Mexico,1881,21718750,28.85,15545.71,921
Atlantic halibut Gulf of Maine / Georges Bank,1882,8408160,27.43,14691.26,100
English sole Pacific Coast,1882,55163960,29.05,15734.54,369
Petrale sole Pacific Coast,1882,40028680,28.22,15206.64,690
Red snapper Gulf of Mexico,1882,2156250,29.17,15848.09,921
Atlantic halibut Gulf of Maine / Georges Bank,1883,8020410,26.44,14203.64,100
English sole Pacific Coast,1883,55163960,27.89,15143.87,369
Petrale sole Pacific Coast,1883,39909190,28.48,15471.39,690
Red snapper Gulf of Mexico,1883,21406250,29.3,16032.41,921
Atlantic halibut Gulf of Maine / Georges Bank,1884,7612240,27.66,15045.52,100
English sole Pacific Coast,1884,55163960,28.69,15734.61,369
Petrale sole Pacific Coast,1884,39909190,28.62,15664.24,690
Red snapper Gulf of Mexico,1884,21171880,28.9,15903.01,921
Atlantic halibut Gulf of Maine / Georges Bank,1885,7183670,27.38,14985.23,100
English sole Pacific Coast,1885,55163960,27.88,15355.39,369
Petrale sole Pacific Coast,1885,39909190,27.36,15013.91,690
Red snapper Gulf of Mexico,1885,21015630,28.23,15608.31,921
Atlantic halibut Gulf of Maine / Georges Bank,1886,6734690,26.9,14803.53,100
English sole Pacific Coast,1886,55163960,29.19,16249.76,369
Petrale sole Pacific Coast,1886,3978970,27.24,15051.5,690
Red snapper Gulf of Mexico,1886,20781250,28.92,16130.37,921
Spanish mackerel Gulf of Mexico,1886,39462230,26.04,14244.09,1173
Atlantic halibut Gulf of Maine / Georges Bank,1887,624490,27.06,15008.79,100
English sole Pacific Coast,1887,55163960,28.52,15954.9,369
Petrale sole Pacific Coast,1887,3978970,27.69,15427.28,690
Red snapper Gulf of Mexico,1887,20546880,29.64,16668.33,921
Spanish mackerel Gulf of Mexico,1887,39462230,27.48,15212.23,1173
Atlantic halibut Gulf of Maine / Georges Bank,1888,5714290,26.26,14634.35,100
English sole Pacific Coast,1888,55163960,28.11,15819.09,369
Pacific halibut North Pacific,1888,0,26.76,14889.73,656
Petrale sole Pacific Coast,1888,3978970,28.62,16095.15,690
Red snapper Gulf of Mexico,1888,20390630,28.89,16325.16,921
Spanish mackerel Gulf of Mexico,1888,39365510,26.72,14866.06,1173
Atlantic halibut Gulf of Maine / Georges Bank,1889,5142860,26.83,15082.06,100
English sole Pacific Coast,1889,55163960,27.71,15684.15,369
Pacific halibut North Pacific,1889,0,27.47,15425.6,656
Petrale sole Pacific Coast,1889,39670210,27.16,15330.1,690
Red snapper Gulf of Mexico,1889,20156250,30.3,17280.01,921
Spanish mackerel Gulf of Mexico,1889,39365510,27.11,15209.58,1173
Atlantic halibut Gulf of Maine / Georges Bank,1890,451020,27.76,15753.07,100
English sole Pacific Coast,1890,55163960,28.78,16436.63,369
Pacific halibut North Pacific,1890,0,26.64,15036.18,656
Petrale sole Pacific Coast,1890,39670210,28.29,16114.94,690
Red snapper Gulf of Mexico,1890,20,29.06,16644.76,921
Spanish mackerel Gulf of Mexico,1890,39172070,27.04,15277.96,1173
Atlantic halibut Gulf of Maine / Georges Bank,1891,3816330,27.43,15658.97,100
English sole Pacific Coast,1891,55163960,28.04,16098.88,369
Pacific halibut North Pacific,1891,0,26.35,14970.82,656
Petrale sole Pacific Coast,1891,39550720,27.62,15822.04,690
Red snapper Gulf of Mexico,1891,19765630,29.66,17112.7,921
Spanish mackerel Gulf of Mexico,1891,39075350,26.48,15046.8,1173
American lobster Southern Gulf of St. Lawrence,1892,0,25.56,14582.54,26
Atlantic halibut Gulf of Maine / Georges Bank,1892,3061220,27.66,15908.13,100
Black rockfish Oregon Coast,1892,24917840,29.7,17226.71,141
Canary rockfish Pacific Coast,1892,24996660,28.53,16474.15,194
Chilipepper Southern Pacific Coast,1892,24964540,28.16,16275.15,206
English sole Pacific Coast,1892,55163960,27.74,16027.94,369
Pacific halibut North Pacific,1892,0,26.74,15311.71,656
Petrale sole Pacific Coast,1892,39550720,28.06,16189.55,690
Red snapper Gulf of Mexico,1892,19609380,28.71,16650.67,921
Sharpchin rockfish Pacific Coast,1892,0,26.68,15246.48,1001
Spanish mackerel Gulf of Mexico,1892,38978620,27.73,15906.03,1173
Yellowtail rockfish Northern Pacific Coast,1892,0,29.36,17046.5,1327
American lobster Lobster Fishing Area 34,1893,0,28.94,16873.03,20
American lobster Lobster Fishing Areas 35-38,1893,0,26.53,15303.51,23
American lobster Southern Gulf of St. Lawrence,1893,0,27.23,15695.39,26
Atlantic halibut Gulf of Maine / Georges Bank,1893,2204080,27.45,15886.54,100
Black rockfish Oregon Coast,1893,24917840,28.67,16718.66,141
Canary rockfish Pacific Coast,1893,24996660,28.2,16381.34,194
Chilipepper Southern Pacific Coast,1893,24858160,28.72,16717.73,206
English sole Pacific Coast,1893,55163960,28.63,16665.75,369
Pacific halibut North Pacific,1893,0,27.43,15833.84,656
Petrale sole Pacific Coast,1893,39431230,28.35,16472.51,690
Red snapper Gulf of Mexico,1893,193750,29.07,16976.25,921
Sharpchin rockfish Pacific Coast,1893,0,26.62,15321.53,1001
Spanish mackerel Gulf of Mexico,1893,3888190,27.08,15621.93,1173
Yellowtail rockfish Northern Pacific Coast,1893,0,28.62,16710.91,1327
American lobster Lobster Fishing Area 34,1894,0,29.45,17289.71,20
American lobster Lobster Fishing Areas 35-38,1894,0,26.87,15614.41,23
American lobster Southern Gulf of St. Lawrence,1894,0,26.42,15313.57,26
Atlantic halibut Gulf of Maine / Georges Bank,1894,2326530,27.88,16254.49,100
Black rockfish Oregon Coast,1894,24917840,29.35,17236.5,141
Canary rockfish Pacific Coast,1894,24996660,27.83,16271.98,194
Chilipepper Southern Pacific Coast,1894,24751770,28.91,16937.02,206
English sole Pacific Coast,1894,55010730,28.3,16575.85,369
Pacific halibut North Pacific,1894,0,27.76,16137.86,656
Petrale sole Pacific Coast,1894,39311750,27.76,16228.86,690
Red snapper Gulf of Mexico,1894,19218750,29.35,17253.27,921
Sharpchin rockfish Pacific Coast,1894,0,26.05,15086.56,1001
Spanish mackerel Gulf of Mexico,1894,38785180,27.96,16258.85,1173
Yellowtail rockfish Northern Pacific Coast,1894,0,28.67,16848.47,1327
American lobster Lobster Fishing Area 34,1895,0,29.16,17222.19,20
American lobster Lobster Fishing Areas 35-38,1895,0,26.67,15604.21,23
American lobster Southern Gulf of St. Lawrence,1895,0,26.4,15409.93,26
Atlantic halibut Gulf of Maine / Georges Bank,1895,2428570,27.75,16285.14,100
Black rockfish Oregon Coast,1895,24917840,29.61,17499.73,141
Canary rockfish Pacific Coast,1895,24996660,29.02,17089.25,194
Chilipepper Southern Pacific Coast,1895,24645390,27.76,16355.06,206
English sole Pacific Coast,1895,55010730,28.73,16944.31,369
Pacific halibut North Pacific,1895,0,27.6,16149.84,656
Petrale sole Pacific Coast,1895,39311750,27.35,16091.72,690
Red snapper Gulf of Mexico,1895,18984380,29.41,17395.74,921
Sharpchin rockfish Pacific Coast,1895,0,26.46,15440.54,1001
Spanish mackerel Gulf of Mexico,1895,38688460,27.08,15836.4,1173
Yellowtail rockfish Northern Pacific Coast,1895,0,28.92,17108.13,1327
American lobster Lobster Fishing Area 34,1896,0,28.2,16754.2,20
American lobster Lobster Fishing Areas 35-38,1896,0,26.1,15370.75,23
American lobster Southern Gulf of St. Lawrence,1896,0,27.08,15929.08,26
Atlantic halibut Gulf of Maine / Georges Bank,1896,1746940,28.1,16600.29,100
Black rockfish Oregon Coast,1896,24917840,29.17,17343.16,141
Canary rockfish Pacific Coast,1896,24996660,27.96,16561.99,194
Chilipepper Southern Pacific Coast,1896,24574470,27.73,16449.23,206
English sole Pacific Coast,1896,55010730,28.9,17152.99,369
Pacific halibut North Pacific,1896,0,26.34,15501.76,656
Petrale sole Pacific Coast,1896,39192260,27.86,16503.93,690
Red snapper Gulf of Mexico,1896,18828130,28.98,17245.46,921
Rex sole Pacific Coast,1896,0,26.87,15824.39,931
Sharpchin rockfish Pacific Coast,1896,0,26.1,15333.46,1001
Spanish mackerel Gulf of Mexico,1896,38688460,26.9,15842.07,1173
Yellowtail rockfish Northern Pacific Coast,1896,0,29.02,17273.27,1327
American lobster Lobster Fishing Area 34,1897,0,29.29,17515.3,20
American lobster Lobster Fishing Areas 35-38,1897,0,27.59,16374.0,23
American lobster Southern Gulf of St. Lawrence,1897,0,26.67,15788.73,26
Atlantic halibut Gulf of Maine / Georges Bank,1897,812240,27.79,16527.87,100
Black rockfish Oregon Coast,1897,24917840,30.1,18007.71,141
Canary rockfish Pacific Coast,1897,24996660,27.66,16490.45,194
Chilipepper Southern Pacific Coast,1897,24539010,27.95,16686.1,206
English sole Pacific Coast,1897,55010730,28.98,17312.49,369
Pacific halibut North Pacific,1897,0,27.88,16535.95,656
Petrale sole Pacific Coast,1897,39072770,28.11,16759.17,690
Red snapper Gulf of Mexico,1897,18593750,30.16,18059.48,921
Rex sole Pacific Coast,1897,0,27.03,16032.58,931
Sharpchin rockfish Pacific Coast,1897,0,26.16,15476.9,1001
Spanish mackerel Gulf of Mexico,1897,38688460,26.41,15654.83,1173
Yellowtail rockfish Northern Pacific Coast,1897,0,29.66,17768.64,1327
American lobster Lobster Fishing Area 34,1898,0,28.5,17150.4,20
American lobster Lobster Fishing Areas 35-38,1898,0,27.14,16209.06,23
American lobster Southern Gulf of St. Lawrence,1898,0,27.43,16351.21,26
Atlantic halibut Gulf of Maine / Georges Bank,1898,751020,27.43,16417.05,100
Black rockfish Oregon Coast,1898,24917840,29.72,17886.56,141
Canary rockfish Pacific Coast,1898,24996660,27.66,16597.87,194
Chilipepper Southern Pacific Coast,1898,24468090,28.32,17015.97,206
English sole Pacific Coast,1898,55010730,27.95,16801.84,369
Pacific halibut North Pacific,1898,0,26.96,16093.89,656
Petrale sole Pacific Coast,1898,39072770,28.65,17191.34,690
Red snapper Gulf of Mexico,1898,1843750,29.35,17683.98,921
Rex sole Pacific Coast,1898,0,27.62,16491.76,931
Sharpchin rockfish Pacific Coast,1898,0,26.15,15576.42,1001
Spanish mackerel Gulf of Mexico,1898,38591740,27.04,16139.64,1173
Yellowtail rockfish Northern Pacific Coast,1898,0,29.11,17541.58,1327
American lobster Lobster Fishing Area 34,1899,0,29.16,17653.39,20
American lobster Lobster Fishing Areas 35-38,1899,0,27.37,16455.8,23
American lobster Southern Gulf of St. Lawrence,1899,0,26.95,16170.89,26
Atlantic halibut Gulf of Maine / Georges Bank,1899,722450,27.07,16307.9,100
Black rockfish Oregon Coast,1899,24917840,28.63,17345.43,141
Canary rockfish Pacific Coast,1899,24996660,27.93,16870.94,194
Chilipepper Southern Pacific Coast,1899,24432620,28.48,17224.48,206
English sole Pacific Coast,1899,55010730,28.72,17370.14,369
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1899,25310420,27.38,16459.24,568
New Zealand snapper New Zealand SNA 1 east Northland,1899,25131260,26.97,16234.05,569
Pacific halibut North Pacific,1899,0,26.15,15711.68,656
Petrale sole Pacific Coast,1899,38953280,29.35,17724.04,690
Red snapper Gulf of Mexico,1899,18203130,28.77,17441.99,921
Rex sole Pacific Coast,1899,0,27.44,16494.55,931
Sharpchin rockfish Pacific Coast,1899,0,26.56,15930.55,1001
Spanish mackerel Gulf of Mexico,1899,38495020,27.07,16267.43,1173
Yellowtail rockfish Northern Pacific Coast,1899,0,29.39,17819.35,1327
American lobster Lobster Fishing Area 34,1900,0,28.8,17549.43,20
American lobster Lobster Fishing Areas 35-38,1900,0,27.37,16563.87,23
American lobster Southern Gulf of St. Lawrence,1900,0,26.45,15984.59,26
Atlantic halibut Gulf of Maine / Georges Bank,1900,726530,28.21,17098.97,100
Black rockfish Oregon Coast,1900,24917840,29.38,17902.88,141
Canary rockfish Pacific Coast,1900,24996660,28.6,17382.11,194
Chilipepper Southern Pacific Coast,1900,24397160,28.37,17264.01,206
China rockfish Central Pacific Coast,1900,25038460,27.96,16978.61,207
China rockfish Northern Pacific Coast,1900,250,27.2,16507.52,208
China rockfish Southern Pacific Coast,1900,250,27.2,16476.55,209
Cowcod Southern California,1900,250,27.82,16912.73,333
English sole Pacific Coast,1900,54857490,29.35,17857.91,369
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1900,0,26.94,16294.15,371
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1900,25310420,27.14,16417.96,568
New Zealand snapper New Zealand SNA 1 east Northland,1900,25131260,27.3,16540.94,569
Pacific halibut North Pacific,1900,0,27.07,16371.26,656
Petrale sole Pacific Coast,1900,38833790,29.53,17936.78,690
Red snapper Gulf of Mexico,1900,18046880,29.2,17811.39,921
Rex sole Pacific Coast,1900,0,26.72,16168.53,931
Sablefish Pacific Coast,1900,24398750,27.64,16743.2,952
Sharpchin rockfish Pacific Coast,1900,0,25.3,15283.45,1001
Spanish mackerel Gulf of Mexico,1900,38495020,27.0,16331.22,1173
Yellowtail rockfish Northern Pacific Coast,1900,0,29.22,17828.31,1327
American lobster Lobster Fishing Area 34,1901,0,28.52,17487.19,20
American lobster Lobster Fishing Areas 35-38,1901,0,27.41,16697.01,23
American lobster Southern Gulf of St. Lawrence,1901,0,26.72,16252.36,26
Atlantic halibut Gulf of Maine / Georges Bank,1901,751020,26.74,16328.36,100
Black rockfish Oregon Coast,1901,24917840,28.8,17658.39,141
Canary rockfish Pacific Coast,1901,24996660,26.88,16455.75,194
Chilipepper Southern Pacific Coast,1901,2436170,28.79,17624.13,206
China rockfish Central Pacific Coast,1901,25038460,28.24,17254.5,207
China rockfish Northern Pacific Coast,1901,250,27.42,16745.91,208
China rockfish Southern Pacific Coast,1901,250,27.66,16864.49,209
Cowcod Southern California,1901,250,27.71,16958.96,333
English sole Pacific Coast,1901,54857490,28.23,17294.03,369
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1901,0,27.15,16524.14,371
King mackerel Southern Atlantic coast,1901,46709750,27.27,16646.12,521
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1901,25147130,27.04,16468.01,568
New Zealand snapper New Zealand SNA 1 east Northland,1901,25061250,27.15,16559.39,569
Pacific halibut North Pacific,1901,0,26.78,16308.71,656
Petrale sole Pacific Coast,1901,38833790,28.13,17207.15,690
Red snapper Gulf of Mexico,1901,17734380,29.02,17809.4,921
Rex sole Pacific Coast,1901,0,27.22,16574.38,931
Sablefish Pacific Coast,1901,24232770,27.08,16515.91,952
Sharpchin rockfish Pacific Coast,1901,0,26.59,16165.88,1001
Shortspine thornyhead Pacific Coast,1901,25030960,27.52,16813.52,1007
Spanish mackerel Gulf of Mexico,1901,3839830,26.22,15971.75,1173
Yellowtail rockfish Northern Pacific Coast,1901,0,29.89,18333.55,1327
American lobster Lobster Fishing Area 34,1902,0,29.29,18054.74,20
American lobster Lobster Fishing Areas 35-38,1902,0,28.32,17351.28,23
American lobster Southern Gulf of St. Lawrence,1902,0,26.19,16042.98,26
Atlantic halibut Gulf of Maine / Georges Bank,1902,787760,27.56,16926.39,100
Black rockfish Oregon Coast,1902,24917840,29.07,17933.8,141
Canary rockfish Pacific Coast,1902,24996660,28.84,17739.04,194
Chilipepper Southern Pacific Coast,1902,24326240,28.41,17504.01,206
China rockfish Central Pacific Coast,1902,25038460,27.53,16938.2,207
China rockfish Northern Pacific Coast,1902,250,28.44,17466.23,208
China rockfish Southern Pacific Coast,1902,250,27.26,16727.46,209
Cowcod Southern California,1902,250,28.81,17727.3,333
English sole Pacific Coast,1902,54704260,29.12,17932.65,369
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1902,0,26.94,16510.02,371
King mackerel Southern Atlantic coast,1902,46709750,27.55,16920.43,521
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1902,25065480,26.89,16489.34,568
New Zealand snapper New Zealand SNA 1 east Northland,1902,24956250,27.45,16843.93,569
Pacific halibut North Pacific,1902,0,27.44,16810.92,656
Petrale sole Pacific Coast,1902,3871430,27.94,17198.38,690
Red snapper Gulf of Mexico,1902,17421880,29.45,18174.08,921
Rex sole Pacific Coast,1902,0,26.53,16268.06,931
Sablefish Pacific Coast,1902,24232770,26.92,16526.06,952
Sharpchin rockfish Pacific Coast,1902,0,26.59,16271.89,1001
Shortspine thornyhead Pacific Coast,1902,25030960,26.93,16564.09,1007
Spanish mackerel Gulf of Mexico,1902,38301580,28.04,17170.2,1173
Yellowtail rockfish Northern Pacific Coast,1902,0,28.85,17821.9,1327
American lobster Lobster Fishing Area 34,1903,0,29.04,18012.86,20
American lobster Lobster Fishing Areas 35-38,1903,0,27.78,17135.14,23
American lobster Southern Gulf of St. Lawrence,1903,0,26.3,16217.3,26
Atlantic halibut Gulf of Maine / Georges Bank,1903,81020,26.53,16418.27,100
Black rockfish Oregon Coast,1903,24917840,28.94,17958.87,141
Canary rockfish Pacific Coast,1903,24996660,27.93,17299.78,194
Chilipepper Southern Pacific Coast,1903,24290780,27.55,17093.23,206
China rockfish Central Pacific Coast,1903,25038460,28.28,17494.98,207
China rockfish Northern Pacific Coast,1903,250,27.96,17286.02,208
China rockfish Southern Pacific Coast,1903,24962410,28.0,17285.16,209
Cowcod Southern California,1903,24838710,27.84,17247.46,333
English sole Pacific Coast,1903,54704260,27.96,17344.25,369
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1903,0,26.78,16516.97,371
King mackerel Southern Atlantic coast,1903,46709750,27.61,17066.22,521
