Year,Month,Day,Sea_Surface_Temperature,Fishing_Effort_Hours,Fish_Biomass
1999,1,1,27.98,1148,29965
1999,1,2,27.96,1220,29891
1999,1,3,28.42,1272,30124
1999,1,4,27.5,1222,29854
1999,1,5,27.92,1159,30248
1999,1,6,27.91,1219,30198
1999,1,7,27.75,1284,30140
1999,1,8,28.55,1148,29803
1999,1,9,27.6,1112,29969
1999,1,10,27.69,1182,29858
1999,1,11,27.74,1237,29943
1999,1,12,28.56,1209,29766
1999,1,13,28.51,1218,29859
1999,1,14,27.84,1232,30316
1999,1,15,28.51,1253,29728
1999,1,16,27.83,1222,29651
1999,1,17,28.94,1281,29694
1999,1,18,28.19,1166,29647
1999,1,19,28.1,1278,29956
1999,1,20,28.15,1124,29890
1999,1,21,27.83,1147,30560
1999,1,22,28.74,1105,30221
1999,1,23,27.44,1196,30252
1999,1,24,27.79,1262,29475
1999,1,25,28.42,1244,29572
1999,1,26,27.76,1101,30027
1999,1,27,28.28,1132,30371
1999,1,28,27.78,1294,29713
1999,1,29,28.44,1167,29992
1999,1,30,27.95,1165,29778
1999,1,31,28.21,1111,29827
1999,2,1,29.04,1283,29904
1999,2,2,28.98,1129,29557
1999,2,3,29.07,1224,29780
1999,2,4,28.58,1252,30007
1999,2,5,28.88,1141,30217
1999,2,6,28.84,1125,29604
1999,2,7,29.51,1263,29124
1999,2,8,29.33,1134,29421
1999,2,9,28.89,1100,29704
1999,2,10,27.95,1103,30183
1999,2,11,29.27,1107,30111
1999,2,12,29.72,1143,30228
1999,2,13,29.4,1194,30127
1999,2,14,29.05,1190,30128
1999,2,15,28.63,1148,30456
1999,2,16,29.31,1218,29973
1999,2,17,28.57,1231,29494
1999,2,18,28.88,1169,30218
1999,2,19,29.08,1149,30009
1999,2,20,29.48,1247,29632
1999,2,21,28.8,1198,29526
1999,2,22,29.4,1200,29547
1999,2,23,29.37,1293,29815
1999,2,24,28.61,1179,29725
1999,2,25,28.73,1251,29790
1999,2,26,28.7,1128,30448
1999,2,27,29.23,1183,30287
1999,2,28,29.11,1180,29837
1999,3,1,29.09,1223,29340
1999,3,2,29.27,1238,29817
1999,3,3,29.1,1131,29798
1999,3,4,30.27,1297,29226
