country,Year,biomass_relative_to
Atlantic halibut Gulf of Maine / Georges Bank,1800,1.979.592
Atlantic halibut Gulf of Maine / Georges Bank,1801,1.979.592
Atlantic halibut Gulf of Maine / Georges Bank,1802,1.979.592
Atlantic halibut Gulf of Maine / Georges Bank,1803,1.979.592
Atlantic halibut Gulf of Maine / Georges Bank,1804,1.977.551
Atlantic halibut Gulf of Maine / Georges Bank,1805,197.551
Atlantic halibut Gulf of Maine / Georges Bank,1806,1.973.469
Atlantic halibut Gulf of Maine / Georges Bank,1807,1.969.388
Atlantic halibut Gulf of Maine / Georges Bank,1808,1.965.306
Atlantic halibut Gulf of Maine / Georges Bank,1809,1.959.184
Atlantic halibut Gulf of Maine / Georges Bank,1810,1.953.061
Atlantic halibut Gulf of Maine / Georges Bank,1811,1.946.939
Atlantic halibut Gulf of Maine / Georges Bank,1812,1.940.816
Atlantic halibut Gulf of Maine / Georges Bank,1813,1.932.653
Atlantic halibut Gulf of Maine / Georges Bank,1814,192.449
Atlantic halibut Gulf of Maine / Georges Bank,1815,1.916.327
Atlantic halibut Gulf of Maine / Georges Bank,1816,1.908.163
Atlantic halibut Gulf of Maine / Georges Bank,1817,1.9
Atlantic halibut Gulf of Maine / Georges Bank,1818,1.891.837
Atlantic halibut Gulf of Maine / Georges Bank,1819,1.881.633
Atlantic halibut Gulf of Maine / Georges Bank,1820,1.873.469
Atlantic halibut Gulf of Maine / Georges Bank,1821,1.863.265
Atlantic halibut Gulf of Maine / Georges Bank,1822,1.855.102
Atlantic halibut Gulf of Maine / Georges Bank,1823,1.844.898
Atlantic halibut Gulf of Maine / Georges Bank,1824,1.834.694
Atlantic halibut Gulf of Maine / Georges Bank,1825,1.826.531
Atlantic halibut Gulf of Maine / Georges Bank,1826,1.816.327
Atlantic halibut Gulf of Maine / Georges Bank,1827,1.806.122
Atlantic halibut Gulf of Maine / Georges Bank,1828,1.795.918
Atlantic halibut Gulf of Maine / Georges Bank,1829,1.783.673
Atlantic halibut Gulf of Maine / Georges Bank,1830,1.773.469
Atlantic halibut Gulf of Maine / Georges Bank,1831,1.763.265
Atlantic halibut Gulf of Maine / Georges Bank,1832,1.753.061
Atlantic halibut Gulf of Maine / Georges Bank,1833,1.740.816
Atlantic halibut Gulf of Maine / Georges Bank,1834,1.730.612
Atlantic halibut Gulf of Maine / Georges Bank,1835,1.718.367
Atlantic halibut Gulf of Maine / Georges Bank,1836,1.708.163
Atlantic halibut Gulf of Maine / Georges Bank,1837,1.695.918
Atlantic halibut Gulf of Maine / Georges Bank,1838,1.683.673
Atlantic halibut Gulf of Maine / Georges Bank,1839,1.673.469
Atlantic halibut Gulf of Maine / Georges Bank,1840,1.661.224
Atlantic halibut Gulf of Maine / Georges Bank,1841,164.898
Atlantic halibut Gulf of Maine / Georges Bank,1842,1.636.735
Atlantic halibut Gulf of Maine / Georges Bank,1843,162.449
Atlantic halibut Gulf of Maine / Georges Bank,1844,1.610.204
Atlantic halibut Gulf of Maine / Georges Bank,1845,1.597.959
Atlantic halibut Gulf of Maine / Georges Bank,1846,1.585.714
Atlantic halibut Gulf of Maine / Georges Bank,1847,1.571.429
Atlantic halibut Gulf of Maine / Georges Bank,1848,1.557.143
Atlantic halibut Gulf of Maine / Georges Bank,1849,1.544.898
Atlantic halibut Gulf of Maine / Georges Bank,1850,1.530.612
Atlantic halibut Gulf of Maine / Georges Bank,1851,1.516.327
Atlantic halibut Gulf of Maine / Georges Bank,1852,1.502.041
Atlantic halibut Gulf of Maine / Georges Bank,1853,1.487.755
Atlantic halibut Gulf of Maine / Georges Bank,1854,1.471.429
Atlantic halibut Gulf of Maine / Georges Bank,1855,1.457.143
Atlantic halibut Gulf of Maine / Georges Bank,1856,1.440.816
Atlantic halibut Gulf of Maine / Georges Bank,1857,142.449
Atlantic halibut Gulf of Maine / Georges Bank,1858,1.408.163
Atlantic halibut Gulf of Maine / Georges Bank,1859,1.391.837
Atlantic halibut Gulf of Maine / Georges Bank,1860,137.551
Atlantic halibut Gulf of Maine / Georges Bank,1861,1.359.184
Atlantic halibut Gulf of Maine / Georges Bank,1862,1.340.816
Atlantic halibut Gulf of Maine / Georges Bank,1863,1.322.449
Atlantic halibut Gulf of Maine / Georges Bank,1864,1.304.082
Atlantic halibut Gulf of Maine / Georges Bank,1865,1.285.714
Atlantic halibut Gulf of Maine / Georges Bank,1866,1.265.306
Atlantic halibut Gulf of Maine / Georges Bank,1867,1.244.898
Atlantic halibut Gulf of Maine / Georges Bank,1868,122.449
Atlantic halibut Gulf of Maine / Georges Bank,1869,1.202.041
Atlantic halibut Gulf of Maine / Georges Bank,1870,1.181.633
Atlantic halibut Gulf of Maine / Georges Bank,1871,1.159.184
Atlantic halibut Gulf of Maine / Georges Bank,1872,1.134.694
Red snapper Gulf of Mexico,1872,2.242.188
Atlantic halibut Gulf of Maine / Georges Bank,1873,1.110.204
Red snapper Gulf of Mexico,1873,2.242.188
Atlantic halibut Gulf of Maine / Georges Bank,1874,1.085.714
Red snapper Gulf of Mexico,1874,2.242.188
Atlantic halibut Gulf of Maine / Georges Bank,1875,1.059.184
Red snapper Gulf of Mexico,1875,2.234.375
Atlantic halibut Gulf of Maine / Georges Bank,1876,1.032.653
English sole Pacific Coast,1876,5.516.396
Petrale sole Pacific Coast,1876,4.002.868
Red snapper Gulf of Mexico,1876,2.226.563
Atlantic halibut Gulf of Maine / Georges Bank,1877,1.004.082
English sole Pacific Coast,1877,5.516.396
Petrale sole Pacific Coast,1877,4.002.868
Red snapper Gulf of Mexico,1877,2.210.938
Atlantic halibut Gulf of Maine / Georges Bank,1878,973.469
English sole Pacific Coast,1878,5.516.396
Petrale sole Pacific Coast,1878,4.002.868
Red snapper Gulf of Mexico,1878,2.203.125
Atlantic halibut Gulf of Maine / Georges Bank,1879,942.857
English sole Pacific Coast,1879,5.516.396
Petrale sole Pacific Coast,1879,4.002.868
Red snapper Gulf of Mexico,1879,2.195.313
Atlantic halibut Gulf of Maine / Georges Bank,1880,910.204
English sole Pacific Coast,1880,5.516.396
Petrale sole Pacific Coast,1880,4.002.868
Red snapper Gulf of Mexico,1880,2.1875
Atlantic halibut Gulf of Maine / Georges Bank,1881,877.551
English sole Pacific Coast,1881,5.516.396
Petrale sole Pacific Coast,1881,4.002.868
Red snapper Gulf of Mexico,1881,2.171.875
Atlantic halibut Gulf of Maine / Georges Bank,1882,840.816
English sole Pacific Coast,1882,5.516.396
Petrale sole Pacific Coast,1882,4.002.868
Red snapper Gulf of Mexico,1882,215.625
Atlantic halibut Gulf of Maine / Georges Bank,1883,802.041
English sole Pacific Coast,1883,5.516.396
Petrale sole Pacific Coast,1883,3.990.919
Red snapper Gulf of Mexico,1883,2.140.625
Atlantic halibut Gulf of Maine / Georges Bank,1884,761.224
English sole Pacific Coast,1884,5.516.396
Petrale sole Pacific Coast,1884,3.990.919
Red snapper Gulf of Mexico,1884,2.117.188
Atlantic halibut Gulf of Maine / Georges Bank,1885,718.367
English sole Pacific Coast,1885,5.516.396
Petrale sole Pacific Coast,1885,3.990.919
Red snapper Gulf of Mexico,1885,2.101.563
Atlantic halibut Gulf of Maine / Georges Bank,1886,673.469
English sole Pacific Coast,1886,5.516.396
Petrale sole Pacific Coast,1886,397.897
Red snapper Gulf of Mexico,1886,2.078.125
Spanish mackerel Gulf of Mexico,1886,3.946.223
Atlantic halibut Gulf of Maine / Georges Bank,1887,62.449
English sole Pacific Coast,1887,5.516.396
Petrale sole Pacific Coast,1887,397.897
Red snapper Gulf of Mexico,1887,2.054.688
Spanish mackerel Gulf of Mexico,1887,3.946.223
Atlantic halibut Gulf of Maine / Georges Bank,1888,571.429
English sole Pacific Coast,1888,5.516.396
Pacific halibut North Pacific,1888,0
Petrale sole Pacific Coast,1888,397.897
Red snapper Gulf of Mexico,1888,2.039.063
Spanish mackerel Gulf of Mexico,1888,3.936.551
Atlantic halibut Gulf of Maine / Georges Bank,1889,514.286
English sole Pacific Coast,1889,5.516.396
Pacific halibut North Pacific,1889,0
Petrale sole Pacific Coast,1889,3.967.021
Red snapper Gulf of Mexico,1889,2.015.625
Spanish mackerel Gulf of Mexico,1889,3.936.551
Atlantic halibut Gulf of Maine / Georges Bank,1890,45.102
English sole Pacific Coast,1890,5.516.396
Pacific halibut North Pacific,1890,0
Petrale sole Pacific Coast,1890,3.967.021
Red snapper Gulf of Mexico,1890,2
Spanish mackerel Gulf of Mexico,1890,3.917.207
Atlantic halibut Gulf of Maine / Georges Bank,1891,381.633
English sole Pacific Coast,1891,5.516.396
Pacific halibut North Pacific,1891,0
Petrale sole Pacific Coast,1891,3.955.072
Red snapper Gulf of Mexico,1891,1.976.563
Spanish mackerel Gulf of Mexico,1891,3.907.535
American lobster Southern Gulf of St. Lawrence,1892,0
Atlantic halibut Gulf of Maine / Georges Bank,1892,306.122
Black rockfish Oregon Coast,1892,2.491.784
Canary rockfish Pacific Coast,1892,2.499.666
Chilipepper Southern Pacific Coast,1892,2.496.454
English sole Pacific Coast,1892,5.516.396
Pacific halibut North Pacific,1892,0
Petrale sole Pacific Coast,1892,3.955.072
Red snapper Gulf of Mexico,1892,1.960.938
Sharpchin rockfish Pacific Coast,1892,0
Spanish mackerel Gulf of Mexico,1892,3.897.862
Yellowtail rockfish Northern Pacific Coast,1892,0
American lobster Lobster Fishing Area 34,1893,0
American lobster Lobster Fishing Areas 35-38,1893,0
American lobster Southern Gulf of St. Lawrence,1893,0
Atlantic halibut Gulf of Maine / Georges Bank,1893,220.408
Black rockfish Oregon Coast,1893,2.491.784
Canary rockfish Pacific Coast,1893,2.499.666
Chilipepper Southern Pacific Coast,1893,2.485.816
English sole Pacific Coast,1893,5.516.396
Pacific halibut North Pacific,1893,0
Petrale sole Pacific Coast,1893,3.943.123
Red snapper Gulf of Mexico,1893,1.9375
Sharpchin rockfish Pacific Coast,1893,0
Spanish mackerel Gulf of Mexico,1893,388.819
Yellowtail rockfish Northern Pacific Coast,1893,0
American lobster Lobster Fishing Area 34,1894,0
American lobster Lobster Fishing Areas 35-38,1894,0
American lobster Southern Gulf of St. Lawrence,1894,0
Atlantic halibut Gulf of Maine / Georges Bank,1894,232.653
Black rockfish Oregon Coast,1894,2.491.784
Canary rockfish Pacific Coast,1894,2.499.666
Chilipepper Southern Pacific Coast,1894,2.475.177
English sole Pacific Coast,1894,5.501.073
Pacific halibut North Pacific,1894,0
Petrale sole Pacific Coast,1894,3.931.175
Red snapper Gulf of Mexico,1894,1.921.875
Sharpchin rockfish Pacific Coast,1894,0
Spanish mackerel Gulf of Mexico,1894,3.878.518
Yellowtail rockfish Northern Pacific Coast,1894,0
American lobster Lobster Fishing Area 34,1895,0
American lobster Lobster Fishing Areas 35-38,1895,0
American lobster Southern Gulf of St. Lawrence,1895,0
Atlantic halibut Gulf of Maine / Georges Bank,1895,242.857
Black rockfish Oregon Coast,1895,2.491.784
Canary rockfish Pacific Coast,1895,2.499.666
Chilipepper Southern Pacific Coast,1895,2.464.539
English sole Pacific Coast,1895,5.501.073
Pacific halibut North Pacific,1895,0
Petrale sole Pacific Coast,1895,3.931.175
Red snapper Gulf of Mexico,1895,1.898.438
Sharpchin rockfish Pacific Coast,1895,0
Spanish mackerel Gulf of Mexico,1895,3.868.846
Yellowtail rockfish Northern Pacific Coast,1895,0
American lobster Lobster Fishing Area 34,1896,0
American lobster Lobster Fishing Areas 35-38,1896,0
American lobster Southern Gulf of St. Lawrence,1896,0
Atlantic halibut Gulf of Maine / Georges Bank,1896,174.694
Black rockfish Oregon Coast,1896,2.491.784
Canary rockfish Pacific Coast,1896,2.499.666
Chilipepper Southern Pacific Coast,1896,2.457.447
English sole Pacific Coast,1896,5.501.073
Pacific halibut North Pacific,1896,0
Petrale sole Pacific Coast,1896,3.919.226
Red snapper Gulf of Mexico,1896,1.882.813
Rex sole Pacific Coast,1896,0
Sharpchin rockfish Pacific Coast,1896,0
Spanish mackerel Gulf of Mexico,1896,3.868.846
Yellowtail rockfish Northern Pacific Coast,1896,0
American lobster Lobster Fishing Area 34,1897,0
American lobster Lobster Fishing Areas 35-38,1897,0
American lobster Southern Gulf of St. Lawrence,1897,0
Atlantic halibut Gulf of Maine / Georges Bank,1897,81.224
Black rockfish Oregon Coast,1897,2.491.784
Canary rockfish Pacific Coast,1897,2.499.666
Chilipepper Southern Pacific Coast,1897,2.453.901
English sole Pacific Coast,1897,5.501.073
Pacific halibut North Pacific,1897,0
Petrale sole Pacific Coast,1897,3.907.277
Red snapper Gulf of Mexico,1897,1.859.375
Rex sole Pacific Coast,1897,0
Sharpchin rockfish Pacific Coast,1897,0
Spanish mackerel Gulf of Mexico,1897,3.868.846
Yellowtail rockfish Northern Pacific Coast,1897,0
American lobster Lobster Fishing Area 34,1898,0
American lobster Lobster Fishing Areas 35-38,1898,0
American lobster Southern Gulf of St. Lawrence,1898,0
Atlantic halibut Gulf of Maine / Georges Bank,1898,75.102
Black rockfish Oregon Coast,1898,2.491.784
Canary rockfish Pacific Coast,1898,2.499.666
Chilipepper Southern Pacific Coast,1898,2.446.809
English sole Pacific Coast,1898,5.501.073
Pacific halibut North Pacific,1898,0
Petrale sole Pacific Coast,1898,3.907.277
Red snapper Gulf of Mexico,1898,184.375
Rex sole Pacific Coast,1898,0
Sharpchin rockfish Pacific Coast,1898,0
Spanish mackerel Gulf of Mexico,1898,3.859.174
Yellowtail rockfish Northern Pacific Coast,1898,0
American lobster Lobster Fishing Area 34,1899,0
American lobster Lobster Fishing Areas 35-38,1899,0
American lobster Southern Gulf of St. Lawrence,1899,0
Atlantic halibut Gulf of Maine / Georges Bank,1899,72.245
Black rockfish Oregon Coast,1899,2.491.784
Canary rockfish Pacific Coast,1899,2.499.666
Chilipepper Southern Pacific Coast,1899,2.443.262
English sole Pacific Coast,1899,5.501.073
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1899,2.531.042
New Zealand snapper New Zealand SNA 1 east Northland,1899,2.513.126
Pacific halibut North Pacific,1899,0
Petrale sole Pacific Coast,1899,3.895.328
Red snapper Gulf of Mexico,1899,1.820.313
Rex sole Pacific Coast,1899,0
Sharpchin rockfish Pacific Coast,1899,0
Spanish mackerel Gulf of Mexico,1899,3.849.502
Yellowtail rockfish Northern Pacific Coast,1899,0
American lobster Lobster Fishing Area 34,1900,0
American lobster Lobster Fishing Areas 35-38,1900,0
American lobster Southern Gulf of St. Lawrence,1900,0
Atlantic halibut Gulf of Maine / Georges Bank,1900,72.653
Black rockfish Oregon Coast,1900,2.491.784
Canary rockfish Pacific Coast,1900,2.499.666
Chilipepper Southern Pacific Coast,1900,2.439.716
China rockfish Central Pacific Coast,1900,2.503.846
China rockfish Northern Pacific Coast,1900,2.5
China rockfish Southern Pacific Coast,1900,2.5
Cowcod Southern California,1900,2.5
English sole Pacific Coast,1900,5.485.749
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1900,0
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1900,2.531.042
New Zealand snapper New Zealand SNA 1 east Northland,1900,2.513.126
Pacific halibut North Pacific,1900,0
Petrale sole Pacific Coast,1900,3.883.379
Red snapper Gulf of Mexico,1900,1.804.688
Rex sole Pacific Coast,1900,0
Sablefish Pacific Coast,1900,2.439.875
Sharpchin rockfish Pacific Coast,1900,0
Spanish mackerel Gulf of Mexico,1900,3.849.502
Yellowtail rockfish Northern Pacific Coast,1900,0
American lobster Lobster Fishing Area 34,1901,0
American lobster Lobster Fishing Areas 35-38,1901,0
American lobster Southern Gulf of St. Lawrence,1901,0
Atlantic halibut Gulf of Maine / Georges Bank,1901,75.102
Black rockfish Oregon Coast,1901,2.491.784
Canary rockfish Pacific Coast,1901,2.499.666
Chilipepper Southern Pacific Coast,1901,243.617
China rockfish Central Pacific Coast,1901,2.503.846
China rockfish Northern Pacific Coast,1901,2.5
China rockfish Southern Pacific Coast,1901,2.5
Cowcod Southern California,1901,2.5
English sole Pacific Coast,1901,5.485.749
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1901,0
King mackerel Southern Atlantic coast,1901,4.670.975
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1901,2.514.713
New Zealand snapper New Zealand SNA 1 east Northland,1901,2.506.125
Pacific halibut North Pacific,1901,0
Petrale sole Pacific Coast,1901,3.883.379
Red snapper Gulf of Mexico,1901,1.773.438
Rex sole Pacific Coast,1901,0
Sablefish Pacific Coast,1901,2.423.277
Sharpchin rockfish Pacific Coast,1901,0
Shortspine thornyhead Pacific Coast,1901,2.503.096
Spanish mackerel Gulf of Mexico,1901,383.983
Yellowtail rockfish Northern Pacific Coast,1901,0
American lobster Lobster Fishing Area 34,1902,0
American lobster Lobster Fishing Areas 35-38,1902,0
American lobster Southern Gulf of St. Lawrence,1902,0
Atlantic halibut Gulf of Maine / Georges Bank,1902,78.776
Black rockfish Oregon Coast,1902,2.491.784
Canary rockfish Pacific Coast,1902,2.499.666
Chilipepper Southern Pacific Coast,1902,2.432.624
China rockfish Central Pacific Coast,1902,2.503.846
China rockfish Northern Pacific Coast,1902,2.5
China rockfish Southern Pacific Coast,1902,2.5
Cowcod Southern California,1902,2.5
English sole Pacific Coast,1902,5.470.426
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1902,0
King mackerel Southern Atlantic coast,1902,4.670.975
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1902,2.506.548
