country,year,Trawling_Hours
Atlantic halibut Gulf of Maine / Georges Bank,1800,5638.58
Atlantic halibut Gulf of Maine / Georges Bank,1801,4840.09
Atlantic halibut Gulf of Maine / Georges Bank,1802,4709.12
Atlantic halibut Gulf of Maine / Georges Bank,1803,5335.08
Atlantic halibut Gulf of Maine / Georges Bank,1804,4890.73
Atlantic halibut Gulf of Maine / Georges Bank,1805,5518.36
Atlantic halibut Gulf of Maine / Georges Bank,1806,5318.4
Atlantic halibut Gulf of Maine / Georges Bank,1807,5652.56
Atlantic halibut Gulf of Maine / Georges Bank,1808,6036.39
Atlantic halibut Gulf of Maine / Georges Bank,1809,5795.86
Atlantic halibut Gulf of Maine / Georges Bank,1810,6228.94
Atlantic halibut Gulf of Maine / Georges Bank,1811,6331.03
Atlantic halibut Gulf of Maine / Georges Bank,1812,5629.78
Atlantic halibut Gulf of Maine / Georges Bank,1813,6038.6
Atlantic halibut Gulf of Maine / Georges Bank,1814,5960.54
Atlantic halibut Gulf of Maine / Georges Bank,1815,7149.6
Atlantic halibut Gulf of Maine / Georges Bank,1816,6637.46
Atlantic halibut Gulf of Maine / Georges Bank,1817,7323.33
Atlantic halibut Gulf of Maine / Georges Bank,1818,6419.19
Atlantic halibut Gulf of Maine / Georges Bank,1819,6857.25
Atlantic halibut Gulf of Maine / Georges Bank,1820,7389.23
Atlantic halibut Gulf of Maine / Georges Bank,1821,7322.86
Atlantic halibut Gulf of Maine / Georges Bank,1822,7548.94
Atlantic halibut Gulf of Maine / Georges Bank,1823,7132.94
Atlantic halibut Gulf of Maine / Georges Bank,1824,8042.12
Atlantic halibut Gulf of Maine / Georges Bank,1825,7982.19
Atlantic halibut Gulf of Maine / Georges Bank,1826,7989.57
Atlantic halibut Gulf of Maine / Georges Bank,1827,7783.4
Atlantic halibut Gulf of Maine / Georges Bank,1828,8206.22
Atlantic halibut Gulf of Maine / Georges Bank,1829,8141.63
Atlantic halibut Gulf of Maine / Georges Bank,1830,7853.93
Atlantic halibut Gulf of Maine / Georges Bank,1831,8453.95
Atlantic halibut Gulf of Maine / Georges Bank,1832,8542.06
Atlantic halibut Gulf of Maine / Georges Bank,1833,9027.8
Atlantic halibut Gulf of Maine / Georges Bank,1834,8158.75
Atlantic halibut Gulf of Maine / Georges Bank,1835,9019.64
Atlantic halibut Gulf of Maine / Georges Bank,1836,8722.41
Atlantic halibut Gulf of Maine / Georges Bank,1837,9284.85
Atlantic halibut Gulf of Maine / Georges Bank,1838,9421.36
Atlantic halibut Gulf of Maine / Georges Bank,1839,9403.03
Atlantic halibut Gulf of Maine / Georges Bank,1840,9791.27
Atlantic halibut Gulf of Maine / Georges Bank,1841,9295.35
Atlantic halibut Gulf of Maine / Georges Bank,1842,10121.4
Atlantic halibut Gulf of Maine / Georges Bank,1843,9696.66
Atlantic halibut Gulf of Maine / Georges Bank,1844,9562.31
Atlantic halibut Gulf of Maine / Georges Bank,1845,10067.36
Atlantic halibut Gulf of Maine / Georges Bank,1846,9640.53
Atlantic halibut Gulf of Maine / Georges Bank,1847,10465.33
Atlantic halibut Gulf of Maine / Georges Bank,1848,10431.31
Atlantic halibut Gulf of Maine / Georges Bank,1849,10999.19
Atlantic halibut Gulf of Maine / Georges Bank,1850,10943.76
Atlantic halibut Gulf of Maine / Georges Bank,1851,10451.48
