country,year,biomass_relative_to,SST,Trawling_Hours
Atlantic halibut Gulf of Maine / Georges Bank,1800,1.979.592,27.11,5638.58
Atlantic halibut Gulf of Maine / Georges Bank,1801,1.979.592,25.6,4840.09
Atlantic halibut Gulf of Maine / Georges Bank,1802,1.979.592,25.2,4709.12
Atlantic halibut Gulf of Maine / Georges Bank,1803,1.979.592,26.06,5335.08
Atlantic halibut Gulf of Maine / Georges Bank,1804,1.977.551,25.14,4890.73
Atlantic halibut Gulf of Maine / Georges Bank,1805,197.551,26.01,5518.36
Atlantic halibut Gulf of Maine / Georges Bank,1806,1.973.469,25.49,5318.4
Atlantic halibut Gulf of Maine / Georges Bank,1807,1.969.388,25.87,5652.56
Atlantic halibut Gulf of Maine / Georges Bank,1808,1.965.306,26.33,6036.39
Atlantic halibut Gulf of Maine / Georges Bank,1809,1.959.184,25.75,5795.86
Atlantic halibut Gulf of Maine / Georges Bank,1810,1.953.061,26.29,6228.94
Atlantic halibut Gulf of Maine / Georges Bank,1811,1.946.939,26.28,6331.03
Atlantic halibut Gulf of Maine / Georges Bank,1812,1.940.816,24.93,5629.78
Atlantic halibut Gulf of Maine / Georges Bank,1813,1.932.653,25.43,6038.6
Atlantic halibut Gulf of Maine / Georges Bank,1814,192.449,25.12,5960.54
Atlantic halibut Gulf of Maine / Georges Bank,1815,1.916.327,26.92,7149.6
Atlantic halibut Gulf of Maine / Georges Bank,1816,1.908.163,25.89,6637.46
Atlantic halibut Gulf of Maine / Georges Bank,1817,1.9,26.85,7323.33
Atlantic halibut Gulf of Maine / Georges Bank,1818,1.891.837,25.17,6419.19
Atlantic halibut Gulf of Maine / Georges Bank,1819,1.881.633,25.72,6857.25
Atlantic halibut Gulf of Maine / Georges Bank,1820,1.873.469,26.42,7389.23
Atlantic halibut Gulf of Maine / Georges Bank,1821,1.863.265,26.13,7322.86
Atlantic halibut Gulf of Maine / Georges Bank,1822,1.855.102,26.33,7548.94
Atlantic halibut Gulf of Maine / Georges Bank,1823,1.844.898,25.46,7132.94
Atlantic halibut Gulf of Maine / Georges Bank,1824,1.834.694,26.79,8042.12
Atlantic halibut Gulf of Maine / Georges Bank,1825,1.826.531,26.51,7982.19
Atlantic halibut Gulf of Maine / Georges Bank,1826,1.816.327,26.34,7989.57
Atlantic halibut Gulf of Maine / Georges Bank,1827,1.806.122,25.82,7783.4
Atlantic halibut Gulf of Maine / Georges Bank,1828,1.795.918,26.35,8206.22
Atlantic halibut Gulf of Maine / Georges Bank,1829,1.783.673,26.06,8141.63
Atlantic halibut Gulf of Maine / Georges Bank,1830,1.773.469,25.4,7853.93
Atlantic halibut Gulf of Maine / Georges Bank,1831,1.763.265,26.22,8453.95
Atlantic halibut Gulf of Maine / Georges Bank,1832,1.753.061,26.19,8542.06
Atlantic halibut Gulf of Maine / Georges Bank,1833,1.740.816,26.81,9027.8
Atlantic halibut Gulf of Maine / Georges Bank,1834,1.730.612,25.19,8158.75
Atlantic halibut Gulf of Maine / Georges Bank,1835,1.718.367,26.44,9019.64
Atlantic halibut Gulf of Maine / Georges Bank,1836,1.708.163,25.77,8722.41
Atlantic halibut Gulf of Maine / Georges Bank,1837,1.695.918,26.52,9284.85
Atlantic halibut Gulf of Maine / Georges Bank,1838,1.683.673,26.57,9421.36
Atlantic halibut Gulf of Maine / Georges Bank,1839,1.673.469,26.36,9403.03
Atlantic halibut Gulf of Maine / Georges Bank,1840,1.661.224,26.83,9791.27
Atlantic halibut Gulf of Maine / Georges Bank,1841,164.898,25.82,9295.35
Atlantic halibut Gulf of Maine / Georges Bank,1842,1.636.735,27.02,10121.4
Atlantic halibut Gulf of Maine / Georges Bank,1843,162.449,26.13,9696.66
Atlantic halibut Gulf of Maine / Georges Bank,1844,1.610.204,25.73,9562.31
Atlantic halibut Gulf of Maine / Georges Bank,1845,1.597.959,26.39,10067.36
Atlantic halibut Gulf of Maine / Georges Bank,1846,1.585.714,25.5,9640.53
Atlantic halibut Gulf of Maine / Georges Bank,1847,1.571.429,26.69,10465.33
Atlantic halibut Gulf of Maine / Georges Bank,1848,1.557.143,26.45,10431.31
Atlantic halibut Gulf of Maine / Georges Bank,1849,1.544.898,27.22,10999.19
Atlantic halibut Gulf of Maine / Georges Bank,1850,1.530.612,26.95,10943.76
Atlantic halibut Gulf of Maine / Georges Bank,1851,1.516.327,25.95,10451.48
