country,year,SST
Atlantic halibut Gulf of Maine / Georges Bank,1800,27.11
Atlantic halibut Gulf of Maine / Georges Bank,1801,25.6
Atlantic halibut Gulf of Maine / Georges Bank,1802,25.2
Atlantic halibut Gulf of Maine / Georges Bank,1803,26.06
Atlantic halibut Gulf of Maine / Georges Bank,1804,25.14
Atlantic halibut Gulf of Maine / Georges Bank,1805,26.01
Atlantic halibut Gulf of Maine / Georges Bank,1806,25.49
Atlantic halibut Gulf of Maine / Georges Bank,1807,25.87
Atlantic halibut Gulf of Maine / Georges Bank,1808,26.33
Atlantic halibut Gulf of Maine / Georges Bank,1809,25.75
Atlantic halibut Gulf of Maine / Georges Bank,1810,26.29
Atlantic halibut Gulf of Maine / Georges Bank,1811,26.28
Atlantic halibut Gulf of Maine / Georges Bank,1812,24.93
Atlantic halibut Gulf of Maine / Georges Bank,1813,25.43
Atlantic halibut Gulf of Maine / Georges Bank,1814,25.12
Atlantic halibut Gulf of Maine / Georges Bank,1815,26.92
Atlantic halibut Gulf of Maine / Georges Bank,1816,25.89
Atlantic halibut Gulf of Maine / Georges Bank,1817,26.85
Atlantic halibut Gulf of Maine / Georges Bank,1818,25.17
Atlantic halibut Gulf of Maine / Georges Bank,1819,25.72
Atlantic halibut Gulf of Maine / Georges Bank,1820,26.42
Atlantic halibut Gulf of Maine / Georges Bank,1821,26.13
Atlantic halibut Gulf of Maine / Georges Bank,1822,26.33
Atlantic halibut Gulf of Maine / Georges Bank,1823,25.46
Atlantic halibut Gulf of Maine / Georges Bank,1824,26.79
Atlantic halibut Gulf of Maine / Georges Bank,1825,26.51
Atlantic halibut Gulf of Maine / Georges Bank,1826,26.34
Atlantic halibut Gulf of Maine / Georges Bank,1827,25.82
Atlantic halibut Gulf of Maine / Georges Bank,1828,26.35
Atlantic halibut Gulf of Maine / Georges Bank,1829,26.06
Atlantic halibut Gulf of Maine / Georges Bank,1830,25.4
Atlantic halibut Gulf of Maine / Georges Bank,1831,26.22
Atlantic halibut Gulf of Maine / Georges Bank,1832,26.19
Atlantic halibut Gulf of Maine / Georges Bank,1833,26.81
Atlantic halibut Gulf of Maine / Georges Bank,1834,25.19
Atlantic halibut Gulf of Maine / Georges Bank,1835,26.44
Atlantic halibut Gulf of Maine / Georges Bank,1836,25.77
Atlantic halibut Gulf of Maine / Georges Bank,1837,26.52
Atlantic halibut Gulf of Maine / Georges Bank,1838,26.57
